Name,Comment,Time,Likes,Reply Count
Usman Ghani,Finally a movie Thats not marvel.That everyone is amazed of,2022-11-22T12:45:36Z,0,0
Nas 23,Pass. I can already tell this is gonna be a big fell there’s no storyline I’m so confused Very disappointed,2022-11-22T12:32:39Z,0,0
Naga Raju,Jai sudheer annaa💪🔥🔥🔥,2022-11-22T12:14:23Z,0,0
plop pill,The fact that it’s not a marvel movie doesn’t make this instantly good,2022-11-22T11:37:45Z,0,0
wait №......huh?,"Me: <b>Watchin</b><br>Mah mind: <b>AAAAHHHHHHHHHHH</b> <br>I'VE BEEN WAITIN SINCE I WAS 5, OMGGGGGGG 🤧🤧🚶🏾‍♀️",2022-11-22T11:14:28Z,0,0
Emily H.,"I saw the trailer in the cinema the other day, and I cannot wait. Spent half an hour in the virtual queue to buy IMAX 3D tickets today, and to say I'm excited is an understatement.",2022-11-22T11:14:12Z,2,0
Lalit Kushwaha,I don't want anyone of them to die in this one🥺,2022-11-22T11:05:15Z,0,0
Neo Vink,"What a phenomenal trailer, the music is just brilliant, gives me the chills each time",2022-11-22T10:46:23Z,38,0
Hamzanian,"why they look so small man,",2022-11-22T10:31:26Z,0,0
S Chauhan,A great movie ready to add to the list of highest grossing movies 🔥🔥💥⚡,2022-11-22T10:11:31Z,0,0
TVG BESTIE'S,హీరో సుధీర్ అన్నా,2022-11-22T10:01:50Z,0,0
TVG BESTIE'S,జై జై సుధీర్ అన్నా,2022-11-22T10:01:29Z,0,0
TVG BESTIE'S,Jai సుధీర్ అన్న,2022-11-22T10:01:12Z,0,0
Jimmy Novak,What a giant slice of who gives a shit. Lol It took this long for this?? Ouch..,2022-11-22T10:00:51Z,0,0
Ji Mai,hong phim,2022-11-22T09:58:39Z,0,0
sammeta Rajashekhar,Jai sudheer anna,2022-11-22T09:58:08Z,0,0
Ravi Malviya,🤍🤍,2022-11-22T09:50:01Z,0,0
Bradley Pout,"AMAZING, got chills....",2022-11-22T09:35:46Z,1,0
Friso Flor,"Fantastic trailer, because it really encapuslates the feeling of wanting to be part of this world. Just like the first movie did.",2022-11-22T09:31:10Z,0,0
VultureDrawz,This is gonna be an adventure,2022-11-22T09:24:10Z,1,0
Witchfoot,They just couldn’t leave well enough alone.,2022-11-22T09:11:38Z,0,0
Palagiri Sharooque,Jai Sudheer anna,2022-11-22T08:58:37Z,0,0
Lechuugaa,Im so excited I remember being a kid watching this time passes so fast,2022-11-22T08:54:17Z,0,0
Scott King,I hope this movie lives up to everyone in this comments sections expectations.<br><br>Maybe im just jaded...thinking this will be some derivative tripe....but then again...the first movie was dances with wolves....with blue people...and ridiculously named fake metal...,2022-11-22T08:47:34Z,0,0
GrimJester82,Looks visually amazing but story most likely basic as hell.,2022-11-22T08:04:12Z,0,0
Devarala Vinay,Jai sudheer anna bulli thera king,2022-11-22T08:03:51Z,1,0
Ak Monke,Yall took too long not watching,2022-11-22T07:31:18Z,0,0
andoy gump,imagine a star wars battlefront type avatar game,2022-11-22T07:04:24Z,0,0
EC,Im so ready for this amazing creation 🎉🎉🎉🎉🎉🎉🎉🍾🥂,2022-11-22T07:02:49Z,1,0
Zack C,"Thank you to everyone who worked on this. Finally, a reason to wear those glasses again. IMAX here I come.",2022-11-22T06:59:17Z,1,0
LIKE MY CONTENT,Jai sudheer anna🤩🔥🔥🌟🌟🌟💥💥,2022-11-22T06:19:14Z,1,0
G C,Everyone know s the the way of water always flows down hill,2022-11-22T06:13:43Z,0,0
1noduncle,Science Fiction,2022-11-22T06:08:39Z,0,0
Jorge Sandoval,Pokajontas 2? Everyone knows that the first movie was the exact same story as the first Pokajontas.,2022-11-22T06:00:38Z,0,0
Micah S.,I REALLY hope this movie lives up to the first one.,2022-11-22T05:50:34Z,0,0
QUINN,An another master piece of James Cameron ❤️‍🔥,2022-11-22T05:27:56Z,0,0
kluvsank78,Having a hard time getting past the CGI.,2022-11-22T05:17:21Z,0,0
Arvind Dasarapu,"ట్రైలర్ సూపర్.  రికార్డ్స్ మళ్ళీ బ్రేక్ చేస్తుంది<br>వేటింగ్ ఫర్ ద మూవీ ఇన్ థియోటర్ <br>అవతార్ ద వే ఆఫ్ వాటర్ <br>Avatar The Way of Water<br>💙💙💙💙💙💙💙💙💙💙<br>Love From India🇮🇳, Telangana, Karimnagar",2022-11-22T05:02:25Z,0,0
Alanta k,Finally by far one of my favorite childhood movies and for them to make one as I’m an adult 🔥 lowkey made me shred a tear,2022-11-22T04:57:48Z,2,0
Rob Rose,37 million views in two weeks for a trailer. Wow,2022-11-22T04:26:05Z,1,0
No Chill,Guess this'll make up for Cold War missing out on Mason's real voice...,2022-11-22T04:14:30Z,1,0
Dirtball McNasty,"I don't want to ruin everybody's happiness, but watch it be super woke in some way or another. I'm gritting my teeth for it.",2022-11-22T04:04:08Z,3,8
johnnyappleseed68,unfortunately this movie will NOT turn a profit for the film studio.,2022-11-22T04:00:51Z,0,1
srinu cnu,Jai sudheer anna,2022-11-22T03:52:42Z,3,0
AbandonedProgram,this is going to be mid like the first one,2022-11-22T03:49:00Z,0,0
L R,I got goosebumps everywhere seeing the trailer     I can't wait to see this film absolutely love Avatar 💝❤️💝❤️💝,2022-11-22T03:37:36Z,0,0
BOBSAIDHI3 THE KING,I'm happy to be Alive to see the master piece make a comeback,2022-11-22T03:32:17Z,1,0
Everlade,This is without a doubt one of the biggest &amp; most awaited for films of all time. It doesn’t look disappointing either. Looks spectacular,2022-11-22T03:26:32Z,11,0
shane47 dawson47,This movie will bring people “Back” to the movies!,2022-11-22T03:24:21Z,0,0
Gous,Beatiful ❤,2022-11-22T03:17:07Z,0,0
John Connor,Why is this good enough for him to direct but for terminator dark fate he had someone else direct it if he would have directed it like the the first two terminator movies it could have been good if not awesome there was almost no spoilers in the trailers for dark fate.,2022-11-22T03:11:08Z,0,0
MusicCoca,👏👏👏👏,2022-11-22T03:07:29Z,0,0
Strawberry,"No matter how many times I watch the trailers for Avatar 2, I still get goosebumps and a great excitement inside me.  I am looking forward to December 16th.",2022-11-22T03:04:46Z,6,1
skinnymon123,Why does the cgi look faker than the original,2022-11-22T03:03:41Z,1,0
Mikey J,This looks like a cartoon. I'm not getting the same sense of it being real. Almost like the CGI got worse after 13 years.,2022-11-22T02:57:38Z,1,0
Ariana H,Gatorade!,2022-11-22T02:57:07Z,1,0
jak71113,"Could use a little more CGI.  Seriously, though, what wokeness are they eagerly injecting into this film?  A decade ago, I would have considered seeing this, but not in today’s PC world.",2022-11-22T02:56:46Z,1,0
Hawaiiguy Kailua,10 years later and the computer graphics look like cartoonz.,2022-11-22T02:56:40Z,1,0
Akshay Akshu,Jai sudeer anna❤,2022-11-22T02:55:03Z,1,0
Seyd Ali Mahamed,What is the name of the background music in the beginning? Anyone know?,2022-11-22T02:52:26Z,0,0
ILLMalice,Oh more war what's different tho,2022-11-22T02:43:26Z,1,1
Larva Amigos - Dibujos Animados,"When Neytiri said &quot;This is our home&quot;, i got chills!!!!",2022-11-22T02:27:34Z,40,1
Maya Delcheva,I can't wait to watch it ❤❤❤,2022-11-22T02:25:02Z,0,0
Mason Pyle,So avatar 2 is a thing.,2022-11-22T02:24:16Z,1,0
Am s,so excited!!!,2022-11-22T02:19:51Z,0,0
G.O.G,Finally a worthy theater film to watch 🎉,2022-11-22T02:17:23Z,0,0
William Fleites,That movie will be more awesome than marvel but I still love marvel but both of them are awesome,2022-11-22T02:13:44Z,0,0
Vinkal Kumar,"Omg it's amazing 🤩, unexpected 🥰<br>I can't find words to say just i can show ❤️❤️❤️❤️❤️",2022-11-22T02:05:56Z,0,0
SURYA,"Jai ✊sudheer anna,",2022-11-22T01:54:12Z,2,1
Harsha L,Is it just me or this trailer just does not pump me enough for watching the movie.. For some reason this kind of feels dull despite so much going on .. I dont know but I just dont get the same excitement I got for the First One .. I kind of have a bad feeling about this,2022-11-22T01:50:59Z,2,0
Errol Pletcher,I'm surprised the Avatar Sully took over is able to sexually reproduce.  <br><br>Them Scientists really thought of everything when designing them eh??😂😂,2022-11-22T01:50:29Z,0,0
Edward Fetner,im so glad i waited until theaters to watch this trailer. i was actually floored,2022-11-22T01:47:55Z,1,0
Д,How night elves become nagas. I want see Illidan,2022-11-22T01:35:41Z,0,0
blue sky,Zero interest in this,2022-11-22T01:20:06Z,5,2
Daniel G.,Where are the humans?,2022-11-22T01:16:56Z,0,0
Samyak Education,It's my favourite movie. I will go to see first day. I am waiting for this day.,2022-11-22T01:11:52Z,2,0
daniel paul dumala,Hail sudigali sudheer...,2022-11-22T01:07:24Z,1,1
SuperCoolGirl 13,FINALLY ANOTHER AVATAR MOIVE I HAVE BEEN WAITING FOR ANOTHER FOR SO DAMN LONG,2022-11-22T00:34:08Z,1,0
affiliatesevens,The only ad that people are actually gonna click on,2022-11-22T00:23:05Z,1,0
Coom Lord,I’m guessing the plot of this one is that Jake Sully gets some underwater ponytailussy,2022-11-22T00:16:36Z,2,0
Gerry hazelton,This will be the biggest movie ever,2022-11-21T23:57:51Z,1,0
Catherine KatieCat,Me after seeing that this is a trailer and this is coming out on December 16th; “…” <b>*rushing out of room and slamming door sounds*</b> “DAD! DAD ITS GOING TO BE RELEASED ON DECEMBER SIXTEENTH!” <br>My dad; “What?! What is?!”<br>Me; “*AVATAR THE WAY OF THE WATER!* EEEEEEEEEEEEEEEEE!,2022-11-21T23:35:43Z,0,0
Gabe Hill-Harriss,meh...,2022-11-21T23:08:35Z,3,0
Wimpher,Less than a MONTH to go!!!,2022-11-21T22:55:38Z,2,0
she edible 🫦,i am super excited for this !!! can’t wait 🥹,2022-11-21T22:37:02Z,2,0
Ryan Kerns,How many years since the last one and for another woke jewel.,2022-11-21T22:32:50Z,0,0
RONnySON,"I hope we'll get to see Toruk Makto again.<br><br>When I was younger I thought they were saying To-ma-to.<br>But I am really, really hyped for this, I'm just afraid that the next supposed 3 films will ruin the first 2.",2022-11-21T22:32:02Z,0,0
Michael Clarkson,"Will it gross higher than 'Top Gun: Maverick', and 'Avatar'?",2022-11-21T22:22:49Z,1,1
Dreamwalker,Neytiri: This is our home!❤️‍🔥<br>Dreamwalker: Then let's fight it again! 💙✊️,2022-11-21T22:19:42Z,0,0
Wendi DeYoung,Finally a number 2i can’t what,2022-11-21T22:06:20Z,0,0
Gmail Gmail,great!,2022-11-21T22:00:57Z,0,0
Laura Lianne,Oh I don't know what it is but I just cant grasp the graphics 😔 I prefer the first film looks wise probs just because it's been so long and that's what I ended up loving. Just feel like they look strange 🤔,2022-11-21T21:50:48Z,0,0
BrokenFingers,"Finally, a Subnautica movie.",2022-11-21T21:45:03Z,2,1
Wardeni,It's Space Pocahontas 2: Little Mermaid in Space!,2022-11-21T21:27:56Z,0,0
-d i-,FERNGULLT 2!😂,2022-11-21T21:27:28Z,0,0
Kuromi.<3,I am honestly super excited for this movie😭,2022-11-21T21:23:41Z,4,0
gabi,IM SOOOO EXCITED,2022-11-21T21:22:25Z,0,0
ame son,Wakanda forever,2022-11-21T21:19:55Z,0,0
bawdgallisa,"I had massive chills watching this, this gonna be epic and worth the wait I can feel it.",2022-11-21T21:19:43Z,0,0
Sean Crosby,BLUUUUWWWWBZ,2022-11-21T21:17:58Z,0,0
The KUB,About…. Damn…. TIME!,2022-11-21T21:17:51Z,0,0
Positivity!,The original movie was amazing I hope this is also good,2022-11-21T21:16:29Z,0,0
RetrowaveLemonade,"Proof that story can be both 'other' and meaningful. That a story can both reflect real life and be a fantasy, can be both realistic and false. Most directors these days don't understand a thing. A 2009 movie still destroys the movies made today. Real effort and real writing and inspiration will always beat another super hero slam down or even just some stupid chick flick. Do better hollywood",2022-11-21T21:14:20Z,0,0
Aaron,It’s about damn time,2022-11-21T21:14:12Z,1,0
Chethan,Jai Balayya 🙏🏼,2022-11-21T21:13:21Z,0,0
Joshua Gutierrez,"Movie hasn’t even come out yet and ppl already on here calling it a masterpiece, besides the first one was overrated asf",2022-11-21T21:11:36Z,2,2
BLVXK GXLD IMPERIAL,I spunt so much money on this movie smh I seen the 3d at least 8 times when it came out I lost my mind over this movie,2022-11-21T20:58:09Z,0,0
Wolf C. ???,"I can't wait to see this movie. The first one was so beautifully well made, and be on fantastic. Wonder what this one has in store.",2022-11-21T20:47:23Z,1,0
Gray Fox,Overrated. Im sorry only hype about this movie was it was 3D.,2022-11-21T20:46:57Z,1,0
Bruce Wayne's Therapist,"I really hope the film also focuses on the guilt and pain the father is going through due to the choices he made. I mean c'mon, this man betrayed the entire human race just to get some 'Alien butt cheeks' think about it if Avatar was made in the perspective of the humans it would be a horror movie!",2022-11-21T20:44:48Z,1,0
purge,"Watched the movie when I was 3, now I’m 16. My mom tells me it was my favorite movie and how I rewatched it a million times, Literally. Crazy how it came out many many years later. Can’t wait to watch.",2022-11-21T20:37:34Z,3,0
Simon Roh,"Ain't this kinda like Transformers, a species' home world is dying and yet the protagonists risk their lives to save another one<br>Transformers: Cybertron to Earth<br>Avatar: Earth to Pandora",2022-11-21T20:35:43Z,0,0
purge,"Avatar 3, December 20 2024",2022-11-21T20:34:22Z,0,0
Shan gaman,"Screen play reading easy, Twist,new,beautiful,reality",2022-11-21T20:30:06Z,0,0
Swirley K,I saw the trailer for this when i went to the theaters and i couldnt stop smiling IM SO EXCITED,2022-11-21T20:28:52Z,6,0
NambangiBrothers,What’s the difference between this and Wakanda Forever?? 🤦🏿‍♂️ <br><br>Damn Hollywood!! All creativity is gone.,2022-11-21T20:07:14Z,1,0
Jeremy Garcia,Calling it now movie will be good but everyone will say it's not as good as the first one and that it didn't need a sequel.  You can tell that it's basically the same plot as the first one,2022-11-21T20:06:47Z,0,0
Nick Brennan,Can’t wait to get Zooted off my ass and see this,2022-11-21T20:05:57Z,0,0
T&L Films,I cannot waittttt,2022-11-21T20:01:51Z,1,0
Nordic Son,This needs to be seen on the big screen... so looking forward to it.,2022-11-21T19:59:46Z,2,0
Chuck Jones,"Meh, it looks okay. I probably would have been super hyped if it came out after 4 years instead of 13. Now I just don’t care.",2022-11-21T19:57:19Z,0,0
Nayy_ TheGemini,I'm ready I did not know how much I needed this movie until now. It's been awhile since I been happy for an movie that's not comic book related,2022-11-21T19:52:47Z,1,0
Akash Thummala,❤‍🩹Jai Sudheer Anna.. ✊💥,2022-11-21T19:41:47Z,0,0
SMI LES,CGI over an over told story… pass,2022-11-21T19:21:49Z,1,0
Simon Roh,"It always seems that every life form in an alien movie is stronger than humans, why can't they make an extraterrestrial life that is physically weaker (little bit)",2022-11-21T18:54:58Z,0,0
Ozy O,Just as long as they don’t milk it like they do with or of the rings trilogy,2022-11-21T18:54:29Z,0,0
Dark Day Afternoon,The bit where he goes &quot;it's avatarin time&quot; and then avatars all over them gave me goosebumps,2022-11-21T18:41:40Z,3,0
CyDragon2,please God let this be a huge hit like the first one,2022-11-21T18:28:30Z,2,0
Suzyn Khadka,Exited,2022-11-21T18:27:01Z,0,0
കേരള വീഡിയോ,സൂപ്പർ 😄👍👏👏👏,2022-11-21T17:48:34Z,0,0
shajid s,Sudigali Sudheer,2022-11-21T17:45:46Z,0,0
TiruBalaji pusuluri,Not accepted movie copy from higher planet 😂😂😎😭😀😀😎,2022-11-21T17:41:10Z,0,0
Arslan Ahmad,Boom🇵🇰🥰,2022-11-21T17:39:45Z,1,0
Mahengun19 Goodsky,I've waited a long long time for this movie its one of my favorite movies of all time the first I loved now for this one I'll have to watch it when it comes out,2022-11-21T17:36:15Z,2,0
Hari Harikrishna,Jai sudher,2022-11-21T17:33:13Z,1,0
Mighty·EXE,What is an Avatar<br><br>I'm Mighty.EXE,2022-11-21T17:26:34Z,2,0
Phil Fedorowick,"I know that the focus of these movies has always been Pandora itself and the alien creatures, but I'm v excited to see more of the Human tech from the first movie. It was grounded and well-thought out while still being fantastical, and it was a highlight for me.",2022-11-21T17:00:04Z,4,0
ok,They look terrifying but don’t they look like the sea people in black panther 2?,2022-11-21T16:49:08Z,0,0
Ariana Cecena,Seining this in December with a group of friends.🤗so excited saw the first one in September,2022-11-21T16:47:31Z,0,0
Deepak Kumar,Super movie ♥️,2022-11-21T16:43:50Z,1,0
STARRY SUNNY,Jai Sudheer anna,2022-11-21T16:42:48Z,0,0
MinerInTheSuit,Cant wait to see how bad they are gonna botch this,2022-11-21T16:40:43Z,1,0
Sridhar Babu,Jai sudheer anna ❤️❤️❤️,2022-11-21T16:35:14Z,1,0
MatteoFrance,"I imagine that everyone who craps on avatar because of the story hates every single Marvel/DC/other disney movie, am I right? Because in terms of story they are ALL EXACTLY the same and are not even comparable in terms of cinematography to the first avatar... Why in those cases everyone is like &quot;oh come on, It's entrateinment, It doesn't have to be complex&quot; and with avatar that doesn't apply? It doesn't want to be a masterpiece, It's an experience and the story is better than most &quot;bad guy vs good guy&quot; in the current cinecomics... But no everyone has to crap on it because &quot;yea bad story&quot;",2022-11-21T16:33:33Z,3,0
Vasanth Reddy,Jai sudheer,2022-11-21T16:30:49Z,1,0
T-AD,Amour Braise Enbrasement,2022-11-21T16:27:07Z,1,0
Ram Bullet,Jai sudigali shudheer anna 💪💪💪💪,2022-11-21T16:26:42Z,0,0
T-AD,Cyber Futura,2022-11-21T16:25:33Z,0,0
Tee Jaye,"I'm sure the kiddies will love this, out just in time for the family holiday movies, should do well....though, imo, Cameron has not made even a REMOTELY interesting film since True Lies in 1994.",2022-11-21T15:59:28Z,1,0
captain jack Sparrow,Jai sudheer anna💪💪💪,2022-11-21T15:52:07Z,0,0
12secta,I can't wait to not see this.,2022-11-21T15:47:35Z,1,0
aravind Rusthum,జై సుధీర్ అన్నా !,2022-11-21T15:30:18Z,1,0
Life of Evan,I have a feeling that Jake and Neytiri are gonna sacrifice themselves to save the kids.,2022-11-21T15:10:56Z,0,0
Pavan Kumar Mavilla,Jai sudheer Anna,2022-11-21T15:07:54Z,0,0
Manjunath Manjunath,Jai Sudheer Anna,2022-11-21T14:52:27Z,0,0
kranthi Kumar.T,Jai Sudheer anna🙏🙏🙏🙏🙏🎉🎉🎉🎉🎉🎉 anna yeeee,2022-11-21T14:46:23Z,0,0
only beyblade side shorts,Graphics 😍❤❤❤,2022-11-21T14:41:55Z,1,0
F82 NY,<b>13 Years later.....better be good lol</b><br><br>edit: had to check just bc it's been so long and they are releasing it almost on the exact date of the first one....first one released Dec. 18th 2009...this one will be Dec. 16th 2022 - ALMOST 13 years!,2022-11-21T14:41:27Z,3,0
KARIMULLA SHAIK,Only for Ssf sudigali Sudheer fans,2022-11-21T13:35:16Z,0,0
198 - 061 Sarvan,Maa sudheer anna kaali gotiki raadhu ee cinema😒,2022-11-21T13:13:07Z,0,0
JOSH,Jai sudheer,2022-11-21T13:12:05Z,0,0
Yo Gottti,NO WAYYYY,2022-11-21T12:27:53Z,0,0
YN Paid,Now they need to bring the game back,2022-11-21T12:01:49Z,1,0
Naveen,Jai sudheer Anna,2022-11-21T11:55:11Z,2,0
Salman Raju Edupulapati,Jai sudheer anna☺☺,2022-11-21T11:27:03Z,1,0
Devon,The title isn't in Papyrus. Hard pass.,2022-11-21T11:13:22Z,1,0
RKS creations Telugu,Jai sudheer anna,2022-11-21T10:50:38Z,0,0
Justin Fencsak,New trailer today ?,2022-11-21T10:44:09Z,5,1
すけはる,とても楽しみにしてます,2022-11-21T10:39:20Z,3,0
Emerald EXE and Mazie the Ferret,I can't wait for the movie I am so excited,2022-11-21T10:20:17Z,3,0
ASH,avatar is my most favorite movie ever since i was younger,2022-11-21T09:53:19Z,3,1
lior yunfh,I’m glad that small indie films like avatar are getting the attention they deserve.,2022-11-21T09:45:22Z,3,2
GBlastMan,"Oh, so its just the first movie but instead of a forest its all water? it looks really good ngl but i dont think the visuals alone are impressive enough to make me see this movie in theaters if its just &quot;humans bad&quot; again but with  water.
<br>
<br>Im sorry Cameron but this is all you have after all this years? the same movie but with a different &quot;setting&quot; i dunno man.",2022-11-21T09:40:57Z,1,3
Ms Sandy,"<b>The role really dedicates every moment, cherishes every moment of the co-stars, thank you Ekip and all the actors, video producers are really impressed, have not wasted any time waiting for decades</b>",2022-11-21T09:38:26Z,4,0
sigma's Platinum Rust,Gay,2022-11-21T09:37:24Z,2,1
Bud Spencer,best Avatar and finding Nemo crossover ever,2022-11-21T09:28:05Z,1,0
可愛麗絲 / Alice_Piano ♫,So touched😁,2022-11-21T09:20:35Z,2,0
sisshark_User,SO MUCH SUBNAUTICA REFRENCES,2022-11-21T08:44:52Z,1,0
Kapil Magar,Marvel wakanda made all avatars with predator and titanic feel hahha,2022-11-21T08:34:11Z,1,0
kiran m.n,Jai sudheer anna,2022-11-21T08:20:03Z,2,0
I'M INZAYN,The CGI is gorgeous Holy,2022-11-21T08:15:47Z,4,0
bujji  papa 123,Jai sudheer,2022-11-21T08:15:39Z,2,0
Cal,I'm 22 and I saw the first one at 9 years old in the theaters 3 times. Might still be my favorite movie. I can't wait to turn into a 9 year old again.,2022-11-21T07:57:31Z,7,2
venkatesh sunku,Jai Sudheer anna,2022-11-21T07:51:38Z,2,0
Kasaram Venkatesh,Jai sudheer anna..😁 thaggedhey lee,2022-11-21T07:51:28Z,2,0
Darien Kivenas,Me and my grandpa both loved this movie so much and unfortunately he passed away before getting to see the second one,2022-11-21T07:29:18Z,3,2
DenZkie Art,wow,2022-11-21T07:28:49Z,1,0
Romvlvs Nativeintergra,Let’s blow up another tree,2022-11-21T06:42:39Z,1,0
NOOKA HARINADH,Jai sudheer 😁,2022-11-21T06:39:40Z,2,0
NOOKA HARINADH,Jai balaya 😁😁,2022-11-21T06:39:28Z,1,0
NOOKA HARINADH,Jai ntr 😁😁😁,2022-11-21T06:39:16Z,1,0
Kush wanth,Jai sudheer anna 🥳,2022-11-21T06:38:54Z,2,0
Shadow,Avatar 2 trailer will come today and online ticket sales will start with it. I am very excited 😍,2022-11-21T06:22:57Z,3,0
M’s,Bruh this looks terrible,2022-11-21T06:06:44Z,3,1
Malik Despanie,Yay my favorite movie returned!,2022-11-21T06:06:03Z,2,0
Abhi Abhiram,Jai suddher anna,2022-11-21T05:58:57Z,2,0
Movie World,Chief keef Dropping Almighty So 2 in dec,2022-11-21T05:54:27Z,1,0
Miguel Gonzalez,That’s a hard pass,2022-11-21T05:50:27Z,2,1
Factual Genius,Pendora is also a flat planet there I said it,2022-11-21T05:11:29Z,1,0
Green the Snake,Is it just me or does she look kinda weird being pregnant,2022-11-21T05:10:14Z,2,1
PRASANTH KUMAR VEERNALA,Jai sudheer anna sudher anna fas ikkada ❤️❤️🔥,2022-11-21T05:02:15Z,1,0
Preity,"This trailer makes me so nostalgic. I watched this movie in theatres back when I was a kid. And since we rarely went to theatres, this was special. Also the first time I watched a 3D movie.<br>A decade long of wait, really look forward to this sequel!",2022-11-21T05:00:21Z,5,0
karthik reddy p,Sudheer is great. I am sudheer fan forever.,2022-11-21T04:59:49Z,2,0
karthik reddy p,Sudheer anna gaalodu 2 eppudosthadhi anna.,2022-11-21T04:59:18Z,2,0
Ryan Max-grappler,This movie feels like how native Americans felt when the first Europeans arrived. I mean they do dress and act like native Americans in a way or it's just me 🤷,2022-11-21T04:57:42Z,2,1
Lady Bonezz,Can’t waitttttt about time!!! I was wondering if there would ever be another one,2022-11-21T04:50:51Z,1,0
Kaleb Ross,"I loved the first movie when I was a little kid. Would watch it over and over. And now that they finally made a new one, I have an awesome feeling that this movie is going to be the greatest of all time",2022-11-21T04:48:35Z,35,1
Julian gopot Jr,.,2022-11-21T04:46:18Z,0,0
G²¹_GAMING,Jai sudheer anna❤️,2022-11-21T04:31:39Z,1,0
Aditya JC,Jai Sudheer anna🔥<br>Anna Eyy!!!!!!!!!!,2022-11-21T04:27:30Z,1,0
Dan,Tickets on sale tomorrow monday 21 nov.  🤩,2022-11-21T04:17:19Z,0,0
radhe s krishna,Jai Sudheer anna,2022-11-21T04:08:42Z,1,0
Y. Yoon,Avatar 2: Titanic in Pandora,2022-11-21T03:44:06Z,0,0
Ловец КАДРА,Hi! Was it inspired by Subnautica: Below Zero?🤗 The underwater world in the same beautiful colors and the lighting is the same as in the game. It turned out very nice!,2022-11-21T03:23:16Z,0,0
FunnyGuy,This is like terminator meets titanic meets avatar.,2022-11-21T03:16:31Z,0,1
Takinbaksunday33,"Bro what? The first movie was a terrible gimmick for 3D movies, and James Cameron was just mad that nobody cared about it so he decided to sink millions of dollars into multiple sequels like a petulant child.",2022-11-21T03:02:18Z,2,2
Devarakonda Vijay Sai,Jai Sudheer Anna 😂,2022-11-21T03:00:19Z,0,0
S. Chen,Humans should be winning otherwise this isn't just science-fiction it's self-hating fantasy.,2022-11-21T02:59:35Z,2,2
Indian_Jithu,Jai sudheer anna.... 💥,2022-11-21T02:41:16Z,0,0
Magnificant Marshmallow,"I remember the ending to the first one so vividly, so I really hope it speaks upon it in this one",2022-11-21T02:32:25Z,0,0
Joy Walker,"I have never been more excited to see a second movie I've been waiting for this for so long when avatar first came out, it just touched my heart in a way that no other movie has so beautiful, some place where you would really want to go a place that is so new, so wonderful filled with so much magic that everyone wants to see and go to I can't to see this movie, and I'm so glad, he finally made it. Thank you for making our dreams come true and then some.",2022-11-21T02:15:28Z,16,1
adriennessmith,Soon to be highest grossing box office movie of all time,2022-11-21T01:49:32Z,2,0
RachieLeigh123,I can’t wait!!!,2022-11-21T01:49:19Z,1,0
JAMES CAMPBELL,I hope this joint ain't to animated.,2022-11-21T01:39:02Z,0,0
Jason,I CANNOT WAIT FOR THIS MOVIE. I WATCHED THE FIRST ONE WHEN I WAS A LITERAL KID,2022-11-21T01:33:30Z,0,1
Junior Villarreal,I'm Soo happy now,2022-11-21T01:31:26Z,1,0
Kaylee N,Avatar movies are cinematically gorgeous. Anxious to see this.,2022-11-21T01:03:02Z,5,0
La Pensulo,"The original was good, but not great.   The ecosystem stuff is over used and the anti-technology stuff is stale.    The great irony is that it is technology that provides the anti-technology pro-ecosystem Idea.",2022-11-21T00:55:44Z,0,0
Tse Nam,This movie s poised to break each n every box office records n create new records at box office this winter⭐️⭐️⭐️👏👏💥💓👌,2022-11-21T00:50:19Z,2,0
Tse Nam,Oh James ur magic n magician👏👏👏👏👏whatta pathbreaking trailer⭐️⭐️⭐️⭐️⭐️really looking forward to experience yet another masterpiece on big screens💥⭐️👏💓👌👍👏👌,2022-11-21T00:48:52Z,2,0
Steele Vaz,My neighbor worked in recording this movie and he kept mentioning how he was under water a lot. Makes sense now lol.,2022-11-21T00:25:26Z,4,0
KingKongChief117,“Strong heart” ugh that was so emotional cause thats what Neytiri said to Jake when she first met him.,2022-11-21T00:18:22Z,22,1
Irvin Arias,i never understood the hype about Avatar,2022-11-21T00:00:00Z,0,1
Thayna Penha,Muito top🥰😍😍😍😍🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,2022-11-20T23:47:14Z,3,0
MaxxiBro,I've always been a big fan of Avatar. I've watched the first one in the movie 3 times and loved it. I bought a Bluray disk as well. Can't wait for this second one.,2022-11-20T23:39:34Z,3,1
Kevin G. Smith,The wait is too long! 10 yrs 12 years why did it take that long?,2022-11-20T23:32:44Z,1,0
Makayla Austin,"13 years will be worth the wait. I cannot wait, the nostalgia is real.",2022-11-20T23:02:00Z,5,0
Makayla Austin,"Avatar is a part of my childhood. I was 9 when the first one came out, I LOVED IT. I’m 22 now, I could cry. I’m so excited. I have loved this movie so much, I cannot wait to see this",2022-11-20T23:01:08Z,38,3
Kate roomvac ,Avatar last air bender,2022-11-20T22:53:34Z,0,0
XotoriD4rak,Bruh 🗿,2022-11-20T22:44:56Z,1,0
Damso Kabunda,Bo kondi boye pona nini ?,2022-11-20T22:09:16Z,0,0
Linda Hernandez,12 years is a long time to wait. I hope it's as wonderful as the 1st one. 👍🙏🏻,2022-11-20T22:02:59Z,2,0
E The Artist,Not sure if I care anymore,2022-11-20T22:02:35Z,1,1
